Full_Date,Italy Production Index M&E LAG3,UK Production Index M&E LAG12,United States: EUR in LCU LAG5,Germany Production Index Electrical eq. LAG8,Global Production Index Electrical eq. LAG11,China Production Index M&E LAG2,Japan Production Index Electrical eq. LAG9,US Producer Prices Electrical eq. LAG5,Italy Production Index Electrical eq. LAG3,Sales €,US Shipments Index M&E LAG2,France Production Index M&E LAG12,Japan Production Index M&E LAG9,France Producer Prices Electrical eq. LAG5,UK Production Index Electrical eq. LAG7,China Producer Prices Electrical eq. LAG10
2020-06-01,101.8,109.75,1.111,107.56,125.2,255.2,91.7,111.3,79.94,13321842.0,131.2,94.75,100.94,102.7,128.2,95.1
2020-07-01,72.0,111.56,1.11,109.1,125.6,241.1,114.94,111.5,58.12,12774946.0,108.75,99.0,128.2,102.75,125.6,94.6
2020-08-01,50.62,110.6,1.091,106.3,116.7,255.8,101.4,111.56,38.97,11373503.0,111.5,100.4,107.7,103.0,117.25,94.6
2020-09-01,87.06,100.1,1.106,82.8,131.0,283.2,100.9,111.44,67.44,15912683.0,126.6,65.5,104.25,102.75,116.4,94.2
2020-10-01,96.5,112.2,1.086,99.8,129.2,243.9,107.9,111.44,75.25,10003848.0,115.7,100.9,119.75,102.06,114.1,93.0
2020-11-01,106.1,113.3,1.09,101.2,127.94,233.1,95.06,111.44,85.06,15021618.0,121.3,101.44,103.5,102.2,127.6,92.7
2020-12-01,53.78,109.4,1.126,105.0,119.1,244.1,98.9,111.4,43.88,9755536.0,124.75,94.56,104.6,102.2,77.94,92.7
2021-01-01,101.56,101.9,1.146,81.06,105.1,258.5,127.9,111.8,87.75,4931400.2,125.75,93.2,131.1,102.5,85.5,92.56
2021-02-01,107.44,97.7,1.183,82.8,106.8,274.5,89.5,112.2,92.94,16136114.0,115.0,86.0,95.1,102.9,108.9,91.9
2021-03-01,103.44,98.2,1.18,90.94,125.8,296.2,78.56,112.5,89.56,14128553.0,127.75,90.1,82.0,103.0,112.94,90.3
2021-04-01,88.3,106.4,1.178,96.6,103.5,214.9,97.7,112.8,70.94,13461272.0,114.2,77.9,102.56,103.06,112.3,91.06
2021-05-01,89.6,61.06,1.184,88.0,105.8,214.9,98.7,113.2,80.94,10298079.0,121.3,50.75,98.94,103.06,130.5,91.75
2021-06-01,103.7,69.2,1.217,104.7,120.6,309.5,79.8,113.56,90.25,13650393.0,144.5,66.06,83.1,103.2,123.94,92.25
2021-07-01,117.8,92.06,1.217,107.06,122.25,282.5,104.25,113.4,102.2,13288195.0,135.1,93.6,105.94,103.6,129.8,92.4
2021-08-01,109.5,93.56,1.21,108.06,114.56,291.5,101.94,113.8,91.6,12385756.0,135.1,90.9,105.3,104.0,110.9,92.25
2021-09-01,111.94,86.25,1.189,91.25,134.0,321.8,100.9,115.7,94.3,15874712.0,148.6,59.3,107.9,104.5,106.8,92.06
2021-10-01,111.9,103.7,1.198,93.3,134.6,264.0,109.7,117.25,95.56,13797044.0,133.6,95.0,116.5,104.6,121.9,91.1
2021-11-01,113.56,101.0,1.215,103.44,135.4,253.8,96.44,118.8,93.75,18686820.0,141.9,99.75,102.5,104.8,140.8,91.6
2021-12-01,61.34,106.2,1.205,119.9,126.44,259.0,103.44,120.75,49.03,12376415.0,147.5,94.0,112.06,105.56,119.25,92.0
2022-01-01,112.4,98.8,1.183,105.5,116.3,269.8,134.6,121.9,94.9,13754291.0,141.6,94.06,143.4,105.8,117.25,92.25
2022-02-01,108.1,88.25,1.177,100.7,120.06,291.5,108.2,122.7,91.2,15665217.0,134.2,84.1,116.2,106.6,129.9,92.8
2022-03-01,111.4,98.94,1.177,112.5,145.6,310.8,96.75,124.3,89.0,14320305.0,148.6,88.8,102.8,106.56,122.75,92.94
2022-04-01,94.0,125.2,1.16,107.75,133.6,236.0,119.94,126.06,72.94,11999375.0,129.6,109.44,128.9,107.4,116.4,95.2
