Full_Date,Switzerland Production Index Machinery eq. LAG12,Europe Shipments Index M&E LAG12,Germany Production Index Electrical eq. LAG10,Italy Shipments Index M&E LAG8,Switzerland Production Index M&E LAG12,China Production Index M&E LAG8,Price of Energy LAG12,Price of Base Metals LAG1,Japan Production Index M&E LAG12,Global Production Index Electrical eq. LAG4,Europe Production Index M&E LAG12,COVID_Impact,France Producer Prices Electrical eq. LAG5,Germany Production Index M&E LAG6,Global Production Index Machinery eq. LAG12,France Production Index Electrical eq. LAG12,Japan Production Index Electrical eq. LAG12,Sales € LAG5,China Producer Prices Electrical eq. LAG12,UK Production Index M&E LAG6,Italy Production Index M&E LAG12,Sales €,Sales € LAG3,US Producer Prices Electrical eq. LAG3,Sales € LAG2
2020-12-01,99.44,128.6,99.8,88.75,104.94,255.2,76.6,86.25,104.25,122.25,117.9,1,102.2,85.4,122.6,82.44,100.9,583157.625,93.0,69.2,102.94,1061969.5,1337657.625,112.2,153873.515625
2021-01-01,99.8,133.4,101.2,55.12,105.7,241.1,79.06,91.44,119.75,114.56,112.25,1,102.5,103.7,123.06,76.1,107.9,916909.75,92.7,92.06,85.9,305820.25,153873.515625,112.5,904436.875
2021-02-01,94.44,107.94,105.0,89.25,100.25,255.8,76.06,98.06,103.5,134.0,102.1,1,102.9,100.56,104.5,78.6,95.06,1337657.625,92.7,93.56,94.7,1615468.0,904436.875,112.8,1061969.5
2021-03-01,89.0,113.6,81.06,106.6,94.75,283.2,66.3,99.7,104.6,134.6,107.5,1,103.0,87.6,108.7,79.44,98.9,153873.515625,92.56,86.25,101.8,899610.125,1061969.5,113.2,305820.25
2021-04-01,83.56,120.2,82.8,119.44,89.3,243.9,42.66,105.0,131.1,135.4,108.44,1,103.06,109.0,125.3,68.94,127.9,904436.875,91.9,103.7,72.0,1070486.75,305820.25,113.56,1615468.0
2021-05-01,81.7,83.75,90.94,70.06,85.5,233.1,31.62,109.06,95.1,126.44,77.56,1,103.06,106.75,98.7,44.84,89.5,1061969.5,90.3,101.0,50.62,813607.0,1615468.0,113.4,899610.125
2021-06-01,79.8,95.9,96.6,115.1,81.6,244.1,39.25,113.5,82.0,116.3,88.94,1,103.2,112.25,101.8,59.62,78.56,305820.25,91.06,106.2,87.06,1091239.75,899610.125,113.8,1070486.75
2021-07-01,77.94,118.94,88.0,118.9,77.8,258.5,48.53,121.94,102.56,120.06,106.5,1,103.6,112.75,118.5,84.56,97.7,1615468.0,91.75,98.8,96.5,1207554.5,1070486.75,115.7,813607.0
2021-08-01,80.5,113.44,104.7,120.1,82.0,274.5,51.66,119.0,98.94,145.6,104.3,1,104.0,90.6,114.0,81.6,98.7,899610.125,92.25,88.25,106.1,1093380.0,813607.0,117.25,1091239.75
2021-09-01,83.0,95.0,107.06,132.2,86.1,296.2,54.3,119.3,83.1,133.6,86.0,1,104.5,102.5,104.3,58.22,79.8,1070486.75,92.4,98.94,53.78,2036355.0,1091239.75,118.8,1207554.5
2021-10-01,85.56,125.94,108.06,92.9,90.3,214.9,51.16,120.9,105.94,128.5,113.5,1,104.6,123.56,121.56,86.4,104.25,813607.0,92.25,125.2,101.56,356322.5625,1207554.5,120.75,1093380.0
2021-11-01,86.3,122.44,91.25,107.8,92.4,214.9,51.62,124.1,105.3,141.0,113.7,1,104.8,108.0,122.06,89.94,101.94,1091239.75,92.06,104.6,107.44,1140720.5,1093380.0,121.9,2036355.0
2021-12-01,87.06,129.5,93.3,134.2,94.44,309.5,55.3,130.0,107.9,134.2,115.6,1,105.56,102.9,123.75,83.9,100.9,1207554.5,91.1,103.06,103.44,2655036.75,2036355.0,122.7,356322.5625
2022-01-01,87.8,136.8,103.44,116.75,96.5,282.5,63.75,125.2,116.5,125.75,113.3,1,105.8,115.56,123.6,75.75,109.7,1093380.0,91.6,116.75,88.3,1208090.25,356322.5625,124.3,1140720.5
2022-02-01,86.75,105.75,119.9,127.4,93.94,291.5,69.9,125.2,102.5,141.8,96.6,1,106.6,110.7,109.44,76.2,96.44,2036355.0,92.0,105.44,89.6,1239171.375,1140720.5,126.06,2655036.75
2022-03-01,85.7,119.2,105.5,134.9,91.44,321.8,80.4,133.2,112.06,137.0,107.94,1,106.56,100.9,116.4,80.75,103.44,356322.5625,92.25,99.3,103.7,1873520.375,2655036.75,127.75,1208090.25
2022-04-01,84.6,147.1,100.7,131.0,88.9,264.0,80.75,138.9,143.4,142.6,129.6,1,107.4,115.06,143.0,94.5,134.6,1140720.5,92.8,115.8,117.8,1336221.0,1208090.25,128.5,1239171.375
