Full_Date,Switzerland Production Index M&E LAG9,Price of Energy LAG11,US Production Index M&E LAG4,Germany Production Index Electrical eq. LAG11,Sales €,Switzerland Production Index Machinery eq. LAG10,Japan Production Index Electrical eq. LAG5,Italy Production Index M&E LAG7,France Producer Prices Electrical eq. LAG10,France Production Index Electrical eq. LAG1,Europe Shipments Index M&E LAG3,China Producer Prices Electrical eq. LAG12,US Producer Prices Electrical eq. LAG11,Global Production Index Electrical eq. LAG6
2020-02-01,97.06,80.06,105.3,103.6,82821.5390625,98.06,91.7,108.25,102.9,76.1,129.6,94.94,111.56,125.6
2020-03-01,96.1,82.25,105.3,111.4,160397.34375,98.0,114.94,114.7,103.2,78.6,128.6,94.7,111.94,116.7
2020-04-01,95.2,86.44,104.4,102.5,70530.703125,97.94,101.4,56.25,102.75,79.44,133.4,94.44,111.4,131.0
2020-05-01,97.94,85.2,102.0,107.5,195141.703125,97.9,100.9,107.75,102.5,68.94,107.94,93.9,111.6,129.2
2020-06-01,100.7,76.3,104.2,95.8,269150.40625,98.1,107.9,114.4,102.5,44.84,113.6,94.5,110.56,127.94
2020-07-01,103.44,77.06,108.2,107.7,409170.125,98.4,95.06,102.94,102.56,59.62,120.2,94.9,110.8,119.1
2020-08-01,104.2,71.56,107.0,98.7,153289.4375,98.6,98.9,85.9,102.75,84.56,83.75,95.1,110.6,105.1
2020-09-01,104.94,75.56,90.56,107.56,209186.59375,99.0,127.9,94.7,102.7,81.6,95.9,94.6,111.06,106.8
2020-10-01,105.7,72.7,93.75,109.1,145276.078125,99.44,89.5,101.8,102.7,58.22,118.94,94.6,111.06,125.8
2020-11-01,100.25,76.6,99.3,106.3,160941.78125,99.8,78.56,72.0,102.7,86.4,113.44,94.2,111.06,103.5
2020-12-01,94.75,79.06,96.2,82.8,260089.25,94.44,97.7,50.62,102.75,89.94,95.0,93.0,111.3,105.8
2021-01-01,89.3,76.06,101.4,99.8,40360.078125,89.0,98.7,87.06,103.0,83.9,125.94,92.7,111.5,120.6
2021-02-01,85.5,66.3,100.56,101.2,117004.296875,83.56,79.8,96.5,102.75,75.75,122.44,92.7,111.56,122.25
2021-03-01,81.6,42.66,105.4,105.0,309564.28125,81.7,104.25,106.1,102.06,76.2,129.5,92.56,111.44,114.56
2021-04-01,77.8,31.62,102.8,81.06,125710.7109375,79.8,101.94,53.78,102.2,80.75,136.8,91.9,111.44,134.0
2021-05-01,82.0,39.25,100.7,82.8,218701.0625,77.94,100.9,101.56,102.2,94.5,105.75,90.3,111.44,134.6
2021-06-01,86.1,48.53,107.06,90.94,186607.109375,80.5,109.7,107.44,102.5,83.06,119.2,91.06,111.4,135.4
2021-07-01,90.3,51.66,107.7,96.6,103935.84375,83.0,96.44,103.44,102.9,75.8,147.1,91.75,111.8,126.44
2021-08-01,92.4,54.3,112.2,88.0,323548.03125,85.56,103.44,88.3,103.0,94.06,127.2,92.25,112.2,116.3
2021-09-01,94.44,51.16,112.56,104.7,186586.234375,86.3,134.6,89.6,103.06,82.0,126.5,92.4,112.5,120.06
2021-10-01,96.5,51.62,112.2,107.06,141037.0625,87.06,108.2,103.7,103.06,61.38,144.4,92.25,112.8,145.6
2021-11-01,93.94,55.3,112.8,108.06,230129.078125,87.8,96.75,117.8,103.2,89.56,128.9,92.06,113.2,133.6
2021-12-01,91.44,63.75,107.94,91.25,271111.375,86.75,119.94,109.5,103.6,88.75,110.7,91.1,113.56,128.5
2022-01-01,88.9,69.9,110.1,93.3,91021.890625,85.7,110.6,111.94,104.0,88.3,142.8,91.6,113.4,141.0
2022-02-01,89.1,80.4,109.2,103.44,45696.76171875,84.6,85.7,111.9,104.5,80.75,132.0,92.0,113.8,134.2
2022-03-01,89.4,80.75,111.56,119.9,98729.90625,87.06,107.3,113.56,104.6,77.94,143.0,92.25,115.7,125.75
2022-04-01,89.6,80.8,109.6,105.5,134071.234375,89.5,98.9,61.34,104.8,79.0,150.0,92.8,117.25,141.8
