Full_Date,US Producer Prices Electrical eq. LAG6,France Shipments Index M&E LAG9,UK Production Index Electrical eq. LAG6,Japan Production Index M&E LAG12,Japan Production Index Electrical eq. LAG12,Europe Shipments Index M&E LAG9,Price of Natural gas index LAG10,Germany Production Index M&E LAG9,Sales € LAG3,Switzerland Production Index M&E LAG7,Germany Shipments Index M&E LAG9,Sales €,Switzerland Production Index Machinery eq. LAG9,Sales € LAG6,Italy Shipments Index M&E LAG9,Price of Energy LAG10,China Producer Prices Electrical eq. LAG8
2021-03-01,112.2,77.94,112.3,104.6,98.9,95.9,37.97,85.4,34816960.0,82.0,98.6,33476138.0,79.8,38879360.0,89.25,31.62,91.75
2021-04-01,112.5,119.5,130.5,131.1,127.9,118.94,35.6,103.7,27180432.0,86.1,121.94,41257396.0,77.94,41453856.0,106.6,39.25,92.25
2021-05-01,112.8,98.1,123.94,95.1,89.5,113.44,34.0,100.56,34630524.0,90.3,117.56,37760016.0,80.5,37643612.0,119.44,48.53,92.4
2021-06-01,113.2,83.0,129.8,82.0,78.56,95.0,34.9,87.6,33476138.0,92.4,102.2,35801400.0,83.0,34816960.0,70.06,51.66,92.25
2021-07-01,113.56,111.7,110.9,102.56,97.7,125.94,45.84,109.0,41257396.0,94.44,128.8,37130004.0,85.56,27180432.0,115.1,54.3,92.06
2021-08-01,113.4,113.3,106.8,98.94,98.7,122.44,46.06,106.75,37760016.0,96.5,122.3,36310816.0,86.3,34630524.0,118.9,51.16,91.1
2021-09-01,113.8,116.6,121.9,83.1,79.8,129.5,54.72,112.25,35801400.0,93.94,129.4,36278888.0,87.06,33476138.0,120.1,51.62,91.6
2021-10-01,115.7,120.06,140.8,105.94,104.25,136.8,59.06,112.75,37130004.0,91.44,135.8,44483012.0,87.8,41257396.0,132.2,55.3,92.0
2021-11-01,117.25,97.8,119.25,105.3,101.94,105.75,63.84,90.6,36310816.0,88.9,103.2,34187396.0,86.75,37760016.0,92.9,63.75,92.25
2021-12-01,118.8,107.9,117.25,107.9,100.9,119.2,73.0,102.5,36278888.0,89.1,117.7,33950068.0,85.7,35801400.0,107.8,69.9,92.8
2022-01-01,120.75,129.2,129.9,116.5,109.7,147.1,97.5,123.56,44483012.0,89.4,147.2,37942944.0,84.6,37130004.0,134.2,80.4,92.94
2022-02-01,121.9,115.2,122.75,102.5,96.44,127.2,65.6,108.0,34187396.0,89.6,125.2,36293076.0,87.06,36310816.0,116.75,80.75,95.2
2022-03-01,122.7,103.0,116.4,112.06,103.44,126.5,71.25,102.9,33950068.0,93.3,122.56,40220408.0,89.5,36278888.0,127.4,80.8,96.7
2022-04-01,124.3,135.6,130.5,143.4,134.6,144.4,83.44,115.56,37942944.0,96.94,139.0,41053204.0,91.94,44483012.0,134.9,86.3,97.7
