Full_Date,UK Production Index M&E LAG12,Europe Shipments Index M&E LAG12,Germany Production Index M&E LAG12,Global Production Index Electrical eq. LAG10,Japan Production Index Electrical eq. LAG12,Italy Production Index Electrical eq. LAG10,France Production Index M&E LAG12,Sales €,Europe Production Index M&E LAG12,France Production Index Electrical eq. LAG9,Price of Base Metals LAG11,Japan Production Index M&E LAG9,Sales € LAG6,Global Production Index Machinery eq. LAG12,Sales € LAG3,France Shipments Index M&E LAG12,Germany Shipments Index M&E LAG12
2021-07-01,92.06,118.94,103.7,114.56,97.7,43.88,93.6,8321886.5,106.5,86.4,80.2,105.94,1405295.375,118.5,7085482.5,119.5,121.94
2021-08-01,93.56,113.44,100.56,134.0,98.7,87.75,90.9,19524640.0,104.3,89.94,83.56,105.3,16650953.0,114.0,8767596.0,98.1,117.56
2021-09-01,86.25,95.0,87.6,134.6,79.8,92.94,59.3,15629191.0,86.0,83.9,85.2,107.9,11102205.0,104.3,11687229.0,83.0,102.2
2021-10-01,103.7,125.94,109.0,135.4,104.25,89.56,95.0,11472426.0,113.5,75.75,86.25,116.5,7085482.5,121.56,8321886.5,111.7,128.8
2021-11-01,101.0,122.44,106.75,126.44,101.94,70.94,99.75,9606371.0,113.7,76.2,91.44,102.5,8767596.0,122.06,19524640.0,113.3,122.3
2021-12-01,106.2,129.5,112.25,116.3,100.9,80.94,94.0,8656480.0,115.6,80.75,98.06,112.06,11687229.0,123.75,15629191.0,116.6,129.4
2022-01-01,98.8,136.8,112.75,120.06,109.7,90.25,94.06,7731408.5,113.3,94.5,99.7,143.4,8321886.5,123.6,11472426.0,120.06,135.8
2022-02-01,88.25,105.75,90.6,145.6,96.44,102.2,84.1,7675455.5,96.6,83.06,105.0,116.2,19524640.0,109.44,9606371.0,97.8,103.2
2022-03-01,98.94,119.2,102.5,133.6,103.44,91.6,88.8,14739187.0,107.94,75.8,109.06,102.8,15629191.0,116.4,8656480.0,107.9,117.7
2022-04-01,125.2,147.1,123.56,128.5,134.6,94.3,109.44,8884608.0,129.6,94.06,113.5,128.9,11472426.0,143.0,7731408.5,129.2,147.2
